City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,Vestmannaeyjar,63.4427,-20.2734,34.83,70,96,11.01,IS,2023-01-12 19:46:39
173,Tura,25.5198,90.2201,54.97,61,0,2.37,IN,2023-01-12 19:46:39
174,Hithadhoo,-0.6,73.0833,78.71,77,42,8.7,MV,2023-01-12 19:46:39
175,Kushiro,42.975,144.3747,25.93,89,5,4.68,JP,2023-01-12 19:46:40
176,Port Elizabeth,-33.918,25.5701,75.09,93,75,25.32,ZA,2023-01-12 19:46:40
177,Iquique,-20.2208,-70.1431,77.04,64,1,8.88,CL,2023-01-12 19:43:59
178,Carnarvon,-24.8667,113.6333,72.88,76,0,20.62,AU,2023-01-12 19:46:40
179,Guerrero Negro,27.9769,-114.0611,73.42,25,7,0.38,MX,2023-01-12 19:46:40
180,Nantucket,41.2835,-70.0995,44.74,81,100,16.11,US,2023-01-12 19:46:41
181,Tual,-5.6667,132.75,82.85,74,100,9.98,ID,2023-01-12 19:46:41
182,Minab,27.1467,57.0801,54.16,30,7,16.71,IR,2023-01-12 19:47:41
183,Hualmay,-11.0964,-77.6139,74.28,68,100,13.02,PE,2023-01-12 19:47:42
